run_id,target_distance,repetition_index,current_x,current_y,current_z,current_magnitude,forward_command,dvl_estimated_distance,pose_forward_displacement,pose_euclidean_displacement,absolute_error,percentage_error,lateral_drift,final_position_error,duration,sample_count,stop_reason,mean_dt,std_dt,dt_source,average_pose_speed,max_dvl_forward_velocity,mean_dvl_forward_velocity
target_5m_current_x_0_y_2_z_0_rep_02,5.0,2,0.0,2.0,0.0,2.0,2.0,5.003642537818786,4.987119197845459,7.320410270906979,0.01652333997332711,0.3313203338004342,5.358829036355019,5.358844516866094,13.870684500000038,417,target_reached,0.033342991586538556,0.00013459453230366464,wall_clock,0.5277612846652924,0.4713032841682434,0.3598830643103277
target_5m_current_x_0_y_2_z_0_rep_03,5.0,3,0.0,2.0,0.0,2.0,2.0,5.002781694123188,4.961726665496826,7.283690114322436,0.04105502862636179,0.8274343065258489,5.332298770546913,5.3324361249348415,13.803678100000013,415,target_reached,0.03334221763285027,0.00010242882342546998,wall_clock,0.5276629939901618,0.4802483022212982,0.36137601840702527
target_5m_current_x_neg0p5_y_0_z_0_rep_01,5.0,1,-0.5,0.0,0.0,0.5,2.0,5.010950400253349,5.022655876819044,5.022655876819044,0.011705476565695427,0.23305352492332715,0.0,0.02265587681904435,14.637407300000007,440,target_reached,0.03334261343963555,0.00011513519230611667,wall_clock,0.3431383559859704,0.45533791184425354,0.34160169501238585
target_5m_current_x_neg0p5_y_0_z_0_rep_02,5.0,2,-0.5,0.0,0.0,0.5,2.0,5.00268738401586,4.974239739123732,4.974239739123732,0.028447644892128032,0.571899353148978,0.0,0.02576026087626815,14.504282199999977,436,target_reached,0.033343177471264314,0.00010778376585741371,wall_clock,0.34294973515640365,0.4615975618362427,0.34419859342977677
target_5m_current_x_neg0p5_y_0_z_0_rep_03,5.0,3,-0.5,0.0,0.0,0.5,2.0,5.006589505638154,5.022655876819044,5.022655876819044,0.016066371180889938,0.3198780003033995,0.0,0.02265587681904435,14.639536799999973,440,target_reached,0.03334746423690199,0.00013744915637775763,wall_clock,0.3430884423077548,0.45157474279403687,0.34120445473930555
target_5m_current_x_0p5_y_0_z_0_rep_01,5.0,1,0.5,0.0,0.0,0.5,2.0,5.0075276006907545,4.975455848034471,4.975455848034471,0.03207175265628326,0.6445992816709054,0.0,0.024544151965528727,11.371840200000008,342,target_reached,0.03334850498533727,0.00012132555802773186,wall_clock,0.43752424942046475,0.5902084112167358,0.43900076205411936
target_5m_current_x_0p5_y_0_z_0_rep_02,5.0,2,0.5,0.0,0.0,0.5,2.0,5.0044209776349735,4.991308776196092,4.991308776196092,0.013112201438881144,0.26270066683540333,0.0,0.008691223803907633,11.403379599999994,343,target_reached,0.033343215204678346,0.00010397453608641886,wall_clock,0.4377043430349451,0.5712403655052185,0.437718487113888
target_5m_current_x_0p5_y_0_z_0_rep_03,5.0,3,0.5,0.0,0.0,0.5,2.0,5.005114436543163,4.95960291987285,4.95960291987285,0.04551151667031306,0.9176443639862976,0.0,0.04039708012714982,11.336696599999982,341,target_reached,0.033343225294117596,0.00011924564540856717,wall_clock,0.43748219564002955,0.5801215171813965,0.4402327314811237
target_10m_current_x_0_y_0_z_0_rep_01,10.0,1,0.0,0.0,0.0,0.0,2.0,10.000175172221985,9.991214752197266,9.991214752197266,0.008960420024719085,0.0896829889753747,0.0,0.008785247802734375,23.30905740000003,700,target_reached,0.03334629098712451,0.00012389284592704365,wall_clock,0.4286408746926529,0.5685359239578247,0.4283112185854199
target_10m_current_x_0_y_0_z_0_rep_02,10.0,2,0.0,0.0,0.0,0.0,2.0,10.008819358502352,9.976363182067871,9.976363182067871,0.032456176434481065,0.3253307426980986,0.0,0.023636817932128906,23.27392500000002,699,target_reached,0.03334373209169057,0.00010799603450305531,wall_clock,0.428649795084751,0.5781583786010742,0.4293390787493048
target_10m_current_x_0_y_0_z_0_rep_03,10.0,3,0.0,0.0,0.0,0.0,2.0,10.013048008382125,10.035770416259766,10.035770416259766,0.022722407877640904,0.22641418580905845,0.0,0.035770416259765625,23.406116499999996,703,target_reached,0.03334204629629629,0.0001039353951306339,wall_clock,0.42876700268751405,0.5547711253166199,0.4271925999166955
target_10m_current_x_0_y_0p25_z_0_rep_01,10.0,1,0.0,0.25,0.0,0.25,2.0,10.004320230735848,10.048545837402344,10.056112051476386,0.044225606666495665,0.44011946984289674,0.390020698774606,0.39303033445489516,23.607333299999937,709,target_reached,0.03334369110169483,0.00012045163688205449,wall_clock,0.42597407863413417,0.5523331761360168,0.42310181053089996
target_10m_current_x_0_y_0p25_z_0_rep_02,10.0,2,0.0,0.25,0.0,0.25,2.0,10.004100495731548,10.01906681060791,10.026609903998228,0.014966314876362574,0.1493783319272475,0.38885268615558743,0.38931986180668166,23.539611700000023,707,target_reached,0.03334222620396604,8.64993596191197e-05,wall_clock,0.4259462743813322,0.5532622933387756,0.42440398529177215
target_10m_current_x_0_y_0p25_z_0_rep_03,10.0,3,0.0,0.25,0.0,0.25,2.0,10.01041451566688,10.01906681060791,10.026609903998228,0.008652294941029481,0.08635829169108515,0.38885268615558743,0.38931986180668166,23.5402335,707,target_reached,0.03334310694050992,0.00010035136582687657,wall_clock,0.4259350232867583,0.5606070756912231,0.4246563237493718
target_10m_current_x_0_y_0p5_z_0_rep_01,10.0,1,0.0,0.5,0.0,0.5,2.0,10.014696378982554,10.00180721282959,10.051325576279112,0.012889166152964648,0.12886837227207665,0.9964930093847215,0.9964946481395824,23.906255800000054,718,target_reached,0.033342058298465906,8.066292800506484e-05,wall_clock,0.4204475037985283,0.5347862243652344,0.41824481855334666
target_10m_current_x_0_y_0p5_z_0_rep_02,10.0,2,0.0,0.5,0.0,0.5,2.0,10.003479653045186,9.987333297729492,10.036779544691433,0.016146355315694194,0.16166833362179758,0.995046345051378,0.995126963832513,23.873425399999974,717,target_reached,0.0333427729050279,0.00010630648202232717,wall_clock,0.4204163992608888,0.5337003469467163,0.4183702150377935
target_10m_current_x_0_y_0p5_z_0_rep_03,10.0,3,0.0,0.5,0.0,0.5,2.0,10.009677173378956,10.016282081604004,10.065872562754093,0.006604908225048334,0.0659417154113398,0.9979397333227098,0.9980725512334064,23.940414999999916,719,target_reached,0.033343196378829966,9.339450359067019e-05,wall_clock,0.4204552244710097,0.5334065556526184,0.41751017583461586
target_10m_current_x_0_y_1_z_0_rep_01,10.0,1,0.0,1.0,0.0,1.0,2.0,10.002377841048718,9.972797393798828,10.439637979011378,0.02958044724988973,0.29661133262652173,3.086965058930218,3.087084912476523,24.87493410000002,747,target_reached,0.033344415683646135,0.00011950545348648265,wall_clock,0.4196850507037673,0.5132056474685669,0.40151883616673056
