run_id,mode,target_distance,repetition_index,current_x,current_y,current_z,current_magnitude,forward_command,desired_forward_velocity,desired_lateral_velocity,dvl_estimated_distance,pose_forward_displacement,pose_euclidean_displacement,absolute_error,percentage_error,lateral_drift,final_position_error,duration,sample_count,stop_reason,mean_forward_velocity_error,std_forward_velocity_error,mean_lateral_velocity_error,std_lateral_velocity_error,mean_abs_lateral_velocity_error,max_abs_lateral_velocity_error,mean_command_effort,max_command_effort,mean_dt,std_dt,dt_source
target_10m_current_y_1_rep_02,no_compensation,10.0,2,0.0,1.0,0.0,1.0,2.0,0.3,0.0,10.004434700019727,10.000463485717773,10.468575059296324,0.003971214301953907,0.039710302503733176,3.0954472767189145,3.0954473114181016,24.940096599999947,749,target_reached,,,,,,,,,0.03334237513368977,9.27888393818238e-05,wall_clock
target_10m_current_y_1_rep_02,dvl_velocity_compensation,10.0,2,0.0,1.0,0.0,1.0,2.0,0.3,0.0,10.005567654391443,9.94260311126709,10.11628716878078,0.06296454312435351,0.6332802629223051,1.866523359902203,1.8674056484590666,43.04569609999999,1292,target_reached,0.06756368647239334,0.04197140484243862,-0.04257181875628385,0.035726777816759286,0.04692003335847334,0.16422152519226074,2.641461004264024,3.9946052453088035,0.03334290945003872,0.00010332784874473097,wall_clock
target_10m_current_y_1_rep_03,no_compensation,10.0,3,0.0,1.0,0.0,1.0,2.0,0.3,0.0,10.012924191672258,10.055797576904297,10.526451114151776,0.04287338523203843,0.4263548953144014,3.112411950714886,3.1129120643765757,25.075525200000016,753,target_reached,,,,,,,,,0.03334511329787236,0.0001164392821121967,wall_clock
target_10m_current_y_1_rep_03,dvl_velocity_compensation,10.0,3,0.0,1.0,0.0,1.0,2.0,0.3,0.0,10.001915236805097,9.98556137084961,10.159142296100683,0.01635386595548738,0.16377512838916067,1.869956229813397,1.8700119720016972,43.011757200000034,1291,target_reached,0.06746350160200698,0.04060911701959576,-0.04283709650163339,0.038493447850916046,0.04798196809118286,0.16275811195373535,2.663302507258641,3.994518525775485,0.03334244744186049,8.742081802295401e-05,wall_clock
target_10m_current_y_2_rep_01,no_compensation,10.0,1,0.0,2.0,0.0,2.0,2.0,0.3,0.0,10.004628164358195,10.014852523803711,14.591390538508927,0.01022435944551603,0.10209196212539678,10.611852183938026,10.611862577851902,27.074077500000044,813,target_reached,,,,,,,,,0.03334245997536951,0.00010047128054062665,wall_clock
target_10m_current_y_2_rep_01,dvl_velocity_compensation,10.0,1,0.0,2.0,0.0,2.0,2.0,0.3,0.0,10.005043557353236,9.948578834533691,16.234122849705887,0.05646472281954473,0.567565717261478,12.828582301735878,12.828685357770254,56.84998719999999,1706,target_reached,0.12400843572100939,0.039280045723497393,-0.2251397283764179,0.03790400544799113,0.2251397283764179,0.3429466784000397,2.858304515226104,3.940932655573248,0.03334310099706744,9.09678804082346e-05,wall_clock
target_10m_current_y_2_rep_02,no_compensation,10.0,2,0.0,2.0,0.0,2.0,2.0,0.3,0.0,10.001295593305327,9.989459037780762,14.554667017075364,0.01183655552456564,0.11849045558722492,10.585321918129921,10.585327166522829,27.010055100000045,811,target_reached,,,,,,,,,0.03334574703703709,0.00012873608373973347,wall_clock
target_10m_current_y_2_rep_02,dvl_velocity_compensation,10.0,2,0.0,2.0,0.0,2.0,2.0,0.3,0.0,10.00385754457815,9.982243537902832,16.287282344527043,0.021614006675317654,0.21652453772790378,12.869746699929237,12.869758949268853,57.01932549999992,1711,target_reached,0.12455390844036617,0.038592035760190234,-0.22481915241009312,0.03676529837294731,0.22481915241009312,0.3552272915840149,2.8587263742519395,3.9750877604816353,0.03334463479532159,0.0001324314538751642,wall_clock
target_10m_current_y_2_rep_03,no_compensation,10.0,3,0.0,2.0,0.0,2.0,2.0,0.3,0.0,10.001186037694056,10.09103012084961,14.70155985995793,0.08984408315555292,0.8903360913562365,10.69144393503666,10.69183145672125,27.27405829999998,819,target_reached,,,,,,,,,0.03334236955990218,8.751335051114733e-05,wall_clock
target_10m_current_y_2_rep_03,dvl_velocity_compensation,10.0,3,0.0,2.0,0.0,2.0,2.0,0.3,0.0,10.000750240167397,10.01882266998291,16.353150248767403,0.018072429815513047,0.18038476586335142,12.924732699990273,12.924746405988133,57.28461930000003,1719,target_reached,0.12542063171213128,0.039702172951609535,-0.22638215180551494,0.037672654077252524,0.22638215180551494,0.35792386531829834,2.8597985952936886,3.9649718474949918,0.03334378306169967,9.853333532867725e-05,wall_clock
