run_id,mode,target_distance,repetition_index,current_x,current_y,current_z,current_magnitude,max_duration_s,forward_command,desired_forward_velocity,desired_lateral_velocity,dvl_estimated_distance,pose_forward_displacement,pose_euclidean_displacement,absolute_error,percentage_error,lateral_drift,final_position_error,duration,sample_count,stop_reason,target_reached,mean_forward_velocity_error,std_forward_velocity_error,mean_lateral_velocity_error,std_lateral_velocity_error,mean_abs_lateral_velocity_error,max_abs_lateral_velocity_error,mean_surge_velocity_error,mean_abs_surge_velocity_error,mean_sway_velocity_error,mean_abs_sway_velocity_error,mean_command_effort,max_command_effort,saturation_fraction,surge_saturation_fraction,sway_saturation_fraction,mean_dt,std_dt,dt_source
target_10m_current_y_1_rep_01,dvl_velocity_compensation,10.0,1,0.0,1.0,0.0,1.0,120.0,2.0,0.5,0.0,10.008195988050351,10.03247356414795,10.187443957031915,0.02427757609759773,0.24198993341339153,1.7701662527397275,1.7704640902054691,30.541713700000003,917,target_reached,True,0.1723054304981287,0.05258387545652873,-0.057876668341877754,0.037862851260718415,0.059683445449633825,0.21495574712753296,,,,,3.388937617921343,3.9969744082945353,,,,0.03334248220524018,0.00010403841403132772,wall_clock
target_10m_current_y_1_rep_01,dvl_pi_velocity_compensation,10.0,1,0.0,1.0,0.0,1.0,120.0,2.0,0.5,0.0,10.004561521059586,9.96455192565918,9.986356416242145,0.04000959540040583,0.40151926247059117,0.6595599995926023,0.660511891669685,38.278043999999966,1149,target_reached,True,0.23863346882015207,0.04464977248822928,-0.0183404994246594,0.03932192690451318,0.03466734541823775,0.13711372017860413,0.23863346882015207,0.23863346882015207,-0.0183404994246594,0.03466734541823775,0.7452870329538334,1.015788337098981,0.0008710801393728223,0.0008710801393728223,0.0,0.03334324390243899,8.831929654506386e-05,wall_clock
target_10m_current_y_1_rep_02,no_compensation,10.0,2,0.0,1.0,0.0,1.0,120.0,2.0,0.5,0.0,10.000444244246275,9.9866304397583,10.454106483832215,0.013813804487973869,0.13832297661660736,3.091206048615277,3.0912349603575477,24.906543199999987,748,target_reached,True,,,,,,,,,,,,,,,,0.03334209263721551,0.0001045551579655424,wall_clock
target_10m_current_y_1_rep_02,dvl_velocity_compensation,10.0,2,0.0,1.0,0.0,1.0,120.0,2.0,0.5,0.0,10.004219135066924,9.979722023010254,10.135611334248289,0.024497112056669934,0.24546888180038404,1.7708092676475644,1.7709253679185073,30.408484899999962,913,target_reached,True,0.1710040453359844,0.05420062931441394,-0.057591062609888694,0.03730680153983511,0.05950615320339717,0.16271664202213287,,,,,3.3829436076885764,3.9997564330210857,,,,0.033342636951754344,8.704077956688619e-05,wall_clock
target_10m_current_y_1_rep_02,dvl_pi_velocity_compensation,10.0,2,0.0,1.0,0.0,1.0,120.0,2.0,0.5,0.0,10.006644889314185,10.030180931091309,10.05820761667295,0.023536041777123984,0.23465221553648688,0.7503405557945371,0.7509472939371932,38.28878510000004,1149,target_reached,True,0.23864897019278505,0.042555541166907504,-0.017323510611391594,0.03999528153229293,0.03433967075279707,0.14349612593650818,0.23864897019278505,0.23864897019278505,-0.017323510611391594,0.03433967075279707,0.7410625593408878,0.9941157972338684,0.0,0.0,0.0,0.03335260026132408,0.0005167497149982961,wall_clock
target_10m_current_y_1_rep_03,no_compensation,10.0,3,0.0,1.0,0.0,1.0,120.0,2.0,0.5,0.0,10.007966232220232,10.000463485717773,10.468575059296324,0.007502746502458635,0.07502398776990417,3.0954472767189145,3.0954473114181016,24.94001830000002,749,target_reached,True,,,,,,,,,,,,,,,,0.03334227045454548,0.00011928164193528452,wall_clock
target_10m_current_y_1_rep_03,dvl_velocity_compensation,10.0,3,0.0,1.0,0.0,1.0,120.0,2.0,0.5,0.0,10.00651666299845,10.066715240478516,10.217089548712853,0.060198577480065296,0.5979962285811493,1.7464716183021665,1.7477454153414604,30.647387200000026,920,target_reached,True,0.17349740034942154,0.05479894653781664,-0.05843912745550489,0.03610487569122452,0.05977308433277113,0.1724279522895813,,,,,3.38844413367533,3.9973488056182327,,,,0.03334862589771494,0.0002445276660832735,wall_clock
target_10m_current_y_1_rep_03,dvl_pi_velocity_compensation,10.0,3,0.0,1.0,0.0,1.0,120.0,2.0,0.5,0.0,10.00881389185652,10.031886100769043,10.055824026705853,0.023072208912523706,0.2299887446963238,0.6934393392875791,0.6941720541003129,38.41154180000001,1153,target_reached,True,0.23943592356954468,0.04325179166410488,-0.018195107910302336,0.039349887446156195,0.034951974989113746,0.1380372941493988,0.23943592356954468,0.23943592356954468,-0.018195107910302336,0.034951974989113746,0.7457157039860811,1.0244119672845957,0.0008680555555555555,0.0008680555555555555,0.0,0.03334335225694445,9.374871246478275e-05,wall_clock
target_10m_current_y_2_rep_01,no_compensation,10.0,1,0.0,2.0,0.0,2.0,120.0,2.0,0.5,0.0,10.006466106172281,9.964066505432129,14.517944154797377,0.042399600740152366,0.4255250676722932,10.558791652321815,10.558852796264029,26.941470199999912,809,target_reached,True,,,,,,,,,,,,,,,,0.03334340371287118,8.742925024314442e-05,wall_clock
target_10m_current_y_2_rep_01,dvl_velocity_compensation,10.0,1,0.0,2.0,0.0,2.0,120.0,2.0,0.5,0.0,10.004705459733023,9.937292098999023,16.018999444367875,0.06741336073399928,0.6783876337980422,12.564178004860878,12.564334491674353,53.61466210000003,1609,target_reached,True,0.3133926766435732,0.03970094999953889,-0.23565303019030176,0.03794781787043004,0.23565303019030176,0.3601463735103607,,,,,2.82896745707641,3.04163056375922,,,,0.033342451554726385,0.00011561381051367456,wall_clock
